wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-14T13:16:52.002,1776161812.002930,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:16:52.102,1776161812.102798,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:16:52.203,1776161812.203113,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.5588,83.14,481.45,165.38,955.88
2026-04-14T13:16:52.303,1776161812.303951,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.5588,83.14,481.45,165.38,955.88
2026-04-14T13:16:52.403,1776161812.403492,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.5588,83.14,481.45,165.38,955.88
2026-04-14T13:16:52.503,1776161812.503069,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.5588,83.14,481.45,165.38,955.88
2026-04-14T13:16:52.602,1776161812.602946,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.5419,81.82,481.58,162.70,956.14
2026-04-14T13:16:52.702,1776161812.702553,distance_accuracy,low,static,0.700,point_02,1.8478,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.85 m | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0.5419,81.82,481.58,162.70,956.14
2026-04-14T13:16:52.803,1776161812.803000,distance_accuracy,low,static,0.700,point_02,1.8478,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.85 m | valid=0/0 | roi_mode=full,SAFE (z=1.85m),0,1,1,0.5420,81.89,481.73,162.84,956.54
2026-04-14T13:16:52.902,1776161812.902715,distance_accuracy,low,static,0.700,point_02,1.8478,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.85 m | valid=0/0 | roi_mode=full,SAFE (z=1.85m),0,0,1,0.5420,81.89,481.73,162.84,956.54
2026-04-14T13:16:53.003,1776161813.003964,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=1.85m),0,0,1,0.5420,81.89,481.73,162.84,956.54
2026-04-14T13:16:53.105,1776161813.105308,distance_accuracy,low,static,0.700,point_02,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,1,1,0.5437,82.20,481.80,163.42,956.40
2026-04-14T13:16:53.202,1776161813.202513,distance_accuracy,low,static,0.700,point_02,2.0391,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.04 m | valid=25/4293 | roi_mode=full,SAFE (z=invalid),0,0,1,0.5437,82.20,481.80,163.42,956.40
2026-04-14T13:16:53.302,1776161813.302901,distance_accuracy,low,static,0.700,point_02,2.0148,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.01 m | valid=27/4293 | roi_mode=full,SAFE (z=2.01m),0,1,1,0.5437,82.20,481.80,163.42,956.40
2026-04-14T13:16:53.402,1776161813.402601,distance_accuracy,low,static,0.700,point_02,2.0148,0,1,0,detected=False | in_zone=False | depth_valid=True | z=2.01 m | valid=0/0 | roi_mode=full,SAFE (z=2.01m),0,0,1,0.5296,82.57,481.87,164.20,956.25
