wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-14T13:21:55.518,1776162115.518592,distance_accuracy,low,static,1.100,point_04,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:55.619,1776162115.619317,distance_accuracy,low,static,1.100,point_04,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:55.719,1776162115.719738,distance_accuracy,low,static,1.100,point_04,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:55.819,1776162115.819747,distance_accuracy,low,static,1.100,point_04,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:55.919,1776162115.918992,distance_accuracy,low,static,1.100,point_04,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:56.018,1776162116.018597,distance_accuracy,low,static,1.100,point_04,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:56.120,1776162116.120023,distance_accuracy,low,static,1.100,point_04,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:56.218,1776162116.218537,distance_accuracy,low,static,1.100,point_04,2.2874,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.29 m | valid=16/10833 | roi_mode=full,SAFE (z=2.29m),0,1,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:56.320,1776162116.320925,distance_accuracy,low,static,1.100,point_04,2.2608,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.26 m | valid=216/10833 | roi_mode=full,SAFE (z=2.29m),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:56.418,1776162116.418462,distance_accuracy,low,static,1.100,point_04,2.2629,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.26 m | valid=204/9638 | roi_mode=full,SAFE (z=2.24m),0,1,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T13:21:56.518,1776162116.518542,distance_accuracy,low,static,1.100,point_04,2.1913,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.19 m | valid=47/9638 | roi_mode=full,SAFE (z=2.19m),0,1,0,0.0000,-1.00,-1.00,-1.00,-1.00
