wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-14T14:26:04.549,1776165964.549892,distance_accuracy,1300lux,static,1.200,point_05,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:04.656,1776165964.656369,distance_accuracy,1300lux,static,1.200,point_05,-1.0000,0,0,0,,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:04.748,1776165964.748930,distance_accuracy,1300lux,static,1.200,point_05,0.7367,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.74 m | valid=866/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:04.849,1776165964.849126,distance_accuracy,1300lux,static,1.200,point_05,0.7382,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.74 m | valid=1109/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:04.947,1776165964.947519,distance_accuracy,1300lux,static,1.200,point_05,0.7306,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.73 m | valid=954/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.049,1776165965.049156,distance_accuracy,1300lux,static,1.200,point_05,0.7320,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.73 m | valid=1027/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.147,1776165965.147465,distance_accuracy,1300lux,static,1.200,point_05,0.7372,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.74 m | valid=1017/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.248,1776165965.248037,distance_accuracy,1300lux,static,1.200,point_05,0.7347,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.73 m | valid=960/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.347,1776165965.347601,distance_accuracy,1300lux,static,1.200,point_05,0.7368,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.74 m | valid=1095/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.447,1776165965.447521,distance_accuracy,1300lux,static,1.200,point_05,0.7338,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.73 m | valid=1083/7956 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.548,1776165965.548244,distance_accuracy,1300lux,static,1.200,point_05,0.7392,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.74 m | valid=1139/7488 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.649,1776165965.649731,distance_accuracy,1300lux,static,1.200,point_05,0.7413,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.74 m | valid=804/7488 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.748,1776165965.748124,distance_accuracy,1300lux,static,1.200,point_05,0.7448,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.74 m | valid=784/7488 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.847,1776165965.847498,distance_accuracy,1300lux,static,1.200,point_05,0.7462,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.75 m | valid=887/7488 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:05.947,1776165965.947445,distance_accuracy,1300lux,static,1.200,point_05,0.7498,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.75 m | valid=914/7488 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:26:06.047,1776165966.047851,distance_accuracy,1300lux,static,1.200,point_05,0.7490,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.75 m | valid=830/7488 | roi_mode=full,,0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
