wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h
2026-04-14T14:29:16.100,1776166156.100140,distance_accuracy,1300lux,static,1.700,point_07,2.0734,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=864/6123 | roi_mode=full,SAFE (z=2.06m),0,0,0,0.0000,-1.00,-1.00,-1.00,-1.00
2026-04-14T14:29:16.200,1776166156.200052,distance_accuracy,1300lux,static,1.700,point_07,2.0573,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=967/6123 | roi_mode=full,SAFE (z=2.07m),0,1,1,0.6963,118.05,475.24,234.78,943.00
2026-04-14T14:29:16.302,1776166156.302035,distance_accuracy,1300lux,static,1.700,point_07,2.0572,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=905/6123 | roi_mode=full,SAFE (z=2.06m),0,1,1,0.6963,118.05,475.24,234.78,943.00
2026-04-14T14:29:16.400,1776166156.400905,distance_accuracy,1300lux,static,1.700,point_07,2.0645,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=1018/6123 | roi_mode=full,SAFE (z=2.06m),0,0,1,0.7071,118.03,475.07,234.74,942.43
2026-04-14T14:29:16.500,1776166156.500246,distance_accuracy,1300lux,static,1.700,point_07,2.0737,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=853/6123 | roi_mode=full,SAFE (z=2.07m),0,1,1,0.7071,118.03,475.07,234.74,942.43
2026-04-14T14:29:16.600,1776166156.600095,distance_accuracy,1300lux,static,1.700,point_07,2.0582,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=949/6123 | roi_mode=full,SAFE (z=2.06m),0,1,1,0.6764,117.02,475.75,232.82,943.40
2026-04-14T14:29:16.702,1776166156.701993,distance_accuracy,1300lux,static,1.700,point_07,2.0573,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=972/6123 | roi_mode=full,SAFE (z=2.06m),0,0,1,0.6764,117.02,475.75,232.82,943.40
2026-04-14T14:29:16.801,1776166156.801006,distance_accuracy,1300lux,static,1.700,point_07,2.0555,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=971/6123 | roi_mode=full,SAFE (z=2.05m),0,1,1,0.6835,117.35,475.48,233.44,943.19
2026-04-14T14:29:16.901,1776166156.901212,distance_accuracy,1300lux,static,1.700,point_07,2.0539,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=854/6123 | roi_mode=full,SAFE (z=2.05m),0,0,1,0.6835,117.35,475.48,233.44,943.19
2026-04-14T14:29:17.000,1776166157.000415,distance_accuracy,1300lux,static,1.700,point_07,2.0555,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=933/6123 | roi_mode=full,SAFE (z=2.06m),0,1,1,0.7016,117.59,475.75,233.90,943.75
2026-04-14T14:29:17.100,1776166157.100222,distance_accuracy,1300lux,static,1.700,point_07,2.0571,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=921/6123 | roi_mode=full,SAFE (z=2.06m),0,0,1,0.7016,117.59,475.75,233.90,943.75
2026-04-14T14:29:17.200,1776166157.200088,distance_accuracy,1300lux,static,1.700,point_07,2.0572,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=912/6123 | roi_mode=full,SAFE (z=2.06m),0,0,1,0.7365,116.54,476.86,231.76,946.05
2026-04-14T14:29:17.301,1776166157.301232,distance_accuracy,1300lux,static,1.700,point_07,2.0660,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=868/6123 | roi_mode=full,SAFE (z=2.06m),0,0,1,0.7365,116.54,476.86,231.76,946.05
2026-04-14T14:29:17.402,1776166157.402949,distance_accuracy,1300lux,static,1.700,point_07,2.0663,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=826/6123 | roi_mode=full,SAFE (z=2.07m),0,1,1,0.7378,116.93,476.44,232.56,945.28
2026-04-14T14:29:17.500,1776166157.500905,distance_accuracy,1300lux,static,1.700,point_07,2.0523,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=960/6123 | roi_mode=full,SAFE (z=2.03m),0,1,1,0.7378,116.93,476.44,232.56,945.28
2026-04-14T14:29:17.601,1776166157.601351,distance_accuracy,1300lux,static,1.700,point_07,2.0489,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=957/6123 | roi_mode=full,SAFE (z=2.05m),0,1,1,0.7531,116.31,476.73,231.30,946.05
2026-04-14T14:29:17.700,1776166157.700134,distance_accuracy,1300lux,static,1.700,point_07,2.0482,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.05 m | valid=962/6123 | roi_mode=full,SAFE (z=2.05m),0,0,1,0.7531,116.31,476.73,231.30,946.05
2026-04-14T14:29:17.800,1776166157.800877,distance_accuracy,1300lux,static,1.700,point_07,2.0731,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=860/6123 | roi_mode=full,SAFE (z=2.06m),0,1,1,0.7531,116.31,476.73,231.30,946.05
2026-04-14T14:29:17.900,1776166157.900197,distance_accuracy,1300lux,static,1.700,point_07,2.0739,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=1021/6123 | roi_mode=full,SAFE (z=2.07m),0,1,1,0.7420,116.31,476.88,231.33,946.36
2026-04-14T14:29:18.000,1776166158.000196,distance_accuracy,1300lux,static,1.700,point_07,2.0574,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=916/6123 | roi_mode=full,SAFE (z=2.06m),0,1,1,0.7420,116.31,476.88,231.33,946.36
2026-04-14T14:29:18.100,1776166158.100315,distance_accuracy,1300lux,static,1.700,point_07,2.0579,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=961/6123 | roi_mode=full,SAFE (z=2.06m),0,0,1,0.7662,115.76,477.06,230.23,946.84
2026-04-14T14:29:18.200,1776166158.200140,distance_accuracy,1300lux,static,1.700,point_07,2.0660,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.07 m | valid=948/6123 | roi_mode=full,SAFE (z=2.07m),0,1,1,0.7662,115.76,477.06,230.23,946.84
