wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:43:14.821,1776858194.821757,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9951,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=1075/18880 | roi_mode=full,SAFE (z=2.00m),0,0,1,0,"[{""cx"":294.21,""cy"":475.8,""w"":586.74,""h"":942.56,""x1"":1,""y1"":5,""x2"":214,""y2"":160,""conf"":0.7708,""depth_m"":null,""depth_valid"":false}]",0.7708,294.21,475.80,586.74,942.56,
2026-04-22T14:43:14.921,1776858194.921747,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,2.0259,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.03 m | valid=538/15386 | roi_mode=full,SAFE (z=2.03m),0,1,1,0,"[{""cx"":294.21,""cy"":475.8,""w"":586.74,""h"":942.56,""x1"":1,""y1"":5,""x2"":214,""y2"":160,""conf"":0.7708,""depth_m"":null,""depth_valid"":false}]",0.7708,294.21,475.80,586.74,942.56,
2026-04-22T14:43:15.021,1776858195.021787,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,2.0257,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.03 m | valid=446/14601 | roi_mode=full,SAFE (z=2.03m),0,0,1,0,"[{""cx"":279.09,""cy"":478.3,""w"":556.56,""h"":945.17,""x1"":1,""y1"":6,""x2"":214,""y2"":160,""conf"":0.8664,""depth_m"":null,""depth_valid"":false}]",0.8664,279.09,478.30,556.56,945.17,
2026-04-22T14:43:15.121,1776858195.121575,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,2.0217,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.02 m | valid=476/14601 | roi_mode=full,SAFE (z=2.02m),0,1,1,1,"[{""cx"":266.24,""cy"":478.12,""w"":530.84,""h"":952.52,""x1"":1,""y1"":2,""x2"":214,""y2"":160,""conf"":0.9,""depth_m"":2.0327,""depth_valid"":true}]",0.9000,266.24,478.12,530.84,952.52,2.0327
2026-04-22T14:43:15.222,1776858195.221979,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,2.0284,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.03 m | valid=447/14151 | roi_mode=full,SAFE (z=2.03m),0,1,1,1,"[{""cx"":266.24,""cy"":478.12,""w"":530.84,""h"":952.52,""x1"":1,""y1"":2,""x2"":214,""y2"":160,""conf"":0.9,""depth_m"":2.0327,""depth_valid"":true}]",0.9000,266.24,478.12,530.84,952.52,2.0327
2026-04-22T14:43:15.322,1776858195.322133,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,2.0220,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.02 m | valid=464/14151 | roi_mode=full,SAFE (z=2.03m),0,0,1,1,"[{""cx"":319.96,""cy"":472.88,""w"":639.82,""h"":945.1,""x1"":0,""y1"":0,""x2"":214,""y2"":160,""conf"":0.8633,""depth_m"":1.9918,""depth_valid"":true}]",0.8633,319.96,472.88,639.82,945.10,1.9918
2026-04-22T14:43:15.421,1776858195.421882,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,2.0356,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.04 m | valid=904/16906 | roi_mode=full,SAFE (z=2.04m),0,1,1,1,"[{""cx"":319.96,""cy"":472.88,""w"":639.82,""h"":945.1,""x1"":0,""y1"":0,""x2"":214,""y2"":160,""conf"":0.8633,""depth_m"":1.9918,""depth_valid"":true}]",0.8633,319.96,472.88,639.82,945.10,1.9918
2026-04-22T14:43:15.522,1776858195.522381,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,2.0134,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.01 m | valid=1044/16906 | roi_mode=full,SAFE (z=2.02m),0,1,1,1,"[{""cx"":319.96,""cy"":472.88,""w"":639.82,""h"":945.1,""x1"":0,""y1"":0,""x2"":214,""y2"":160,""conf"":0.8633,""depth_m"":1.9918,""depth_valid"":true}]",0.8633,319.96,472.88,639.82,945.10,1.9918
2026-04-22T14:43:15.621,1776858195.621777,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.9953,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.00 m | valid=1203/16960 | roi_mode=full,SAFE (z=2.00m),0,1,1,0,"[{""cx"":317.94,""cy"":479.47,""w"":635.71,""h"":957.79,""x1"":0,""y1"":0,""x2"":106,""y2"":160,""conf"":0.7712,""depth_m"":null,""depth_valid"":false}]",0.7712,317.94,479.47,635.71,957.79,
2026-04-22T14:43:15.728,1776858195.728058,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,1.8396,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.84 m | valid=2157/16960 | roi_mode=full,SAFE (z=2.00m),0,0,1,0,"[{""cx"":317.94,""cy"":479.47,""w"":635.71,""h"":957.79,""x1"":0,""y1"":0,""x2"":106,""y2"":160,""conf"":0.7712,""depth_m"":null,""depth_valid"":false}]",0.7712,317.94,479.47,635.71,957.79,
2026-04-22T14:43:15.821,1776858195.821785,exp2_two_people_different_distance,400_lux,two_people_different_distance,1.500,,0.6184,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.62 m | valid=1577/13659 | roi_mode=full,DANGEROUS (z=0.62m),2,1,1,1,"[{""cx"":261.05,""cy"":476.24,""w"":520.11,""h"":944.32,""x1"":0,""y1"":1,""x2"":87,""y2"":158,""conf"":0.8809,""depth_m"":1.6558,""depth_valid"":true}]",0.8809,261.05,476.24,520.11,944.32,1.6558
