wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m
2026-04-22T14:47:19.597,1776858439.597749,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0321,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.03 m | valid=5274/9858 | roi_mode=full,SAFE (z=2.03m),0,1,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,
2026-04-22T14:47:19.697,1776858439.697922,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0595,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.06 m | valid=4850/9858 | roi_mode=full,SAFE (z=2.03m),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,
2026-04-22T14:47:19.799,1776858439.799319,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,2.0976,1,1,1,detected=True | in_zone=True | depth_valid=True | z=2.10 m | valid=4881/9858 | roi_mode=full,SAFE (z=2.07m),0,1,2,0,"[{""cx"":703.05,""cy"":480.73,""w"":355.81,""h"":958.54,""x1"":88,""y1"":0,""x2"":147,""y2"":160,""conf"":0.9433,""depth_m"":null,""depth_valid"":false},{""cx"":108.58,""cy"":478.7,""w"":215.77,""h"":949.94,""x1"":0,""y1"":1,""x2"":36,""y2"":159,""conf"":0.9056,""depth_m"":null,""depth_valid"":false}]",0.9433,703.05,480.73,355.81,958.54,
2026-04-22T14:47:19.897,1776858439.897671,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9370,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.94 m | valid=688/5688 | roi_mode=full,SAFE (z=1.89m),0,1,2,0,"[{""cx"":703.05,""cy"":480.73,""w"":355.81,""h"":958.54,""x1"":88,""y1"":0,""x2"":147,""y2"":160,""conf"":0.9433,""depth_m"":null,""depth_valid"":false},{""cx"":108.58,""cy"":478.7,""w"":215.77,""h"":949.94,""x1"":0,""y1"":1,""x2"":36,""y2"":159,""conf"":0.9056,""depth_m"":null,""depth_valid"":false}]",0.9433,703.05,480.73,355.81,958.54,
2026-04-22T14:47:19.997,1776858439.997712,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.9564,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.96 m | valid=716/5688 | roi_mode=full,SAFE (z=1.89m),0,0,2,0,"[{""cx"":695.07,""cy"":476.96,""w"":360.96,""h"":952.62,""x1"":86,""y1"":0,""x2"":146,""y2"":159,""conf"":0.9274,""depth_m"":null,""depth_valid"":false},{""cx"":123.64,""cy"":479.14,""w"":246.11,""h"":953.49,""x1"":0,""y1"":0,""x2"":41,""y2"":159,""conf"":0.9187,""depth_m"":null,""depth_valid"":false}]",0.9274,695.07,476.96,360.96,952.62,
2026-04-22T14:47:20.097,1776858440.097709,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.2364,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.24 m | valid=1060/6519 | roi_mode=full,WARNING (z=1.24m),1,1,2,0,"[{""cx"":695.07,""cy"":476.96,""w"":360.96,""h"":952.62,""x1"":86,""y1"":0,""x2"":146,""y2"":159,""conf"":0.9274,""depth_m"":null,""depth_valid"":false},{""cx"":123.64,""cy"":479.14,""w"":246.11,""h"":953.49,""x1"":0,""y1"":0,""x2"":41,""y2"":159,""conf"":0.9187,""depth_m"":null,""depth_valid"":false}]",0.9274,695.07,476.96,360.96,952.62,
2026-04-22T14:47:20.197,1776858440.197694,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.1131,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.11 m | valid=876/6519 | roi_mode=full,WARNING (z=1.24m),1,0,2,1,"[{""cx"":161.4,""cy"":475.92,""w"":320.14,""h"":948.54,""x1"":0,""y1"":0,""x2"":54,""y2"":158,""conf"":0.9439,""depth_m"":2.9866,""depth_valid"":true},{""cx"":684.33,""cy"":471.58,""w"":350.3,""h"":939.86,""x1"":85,""y1"":0,""x2"":144,""y2"":157,""conf"":0.9296,""depth_m"":null,""depth_valid"":false}]",0.9296,684.33,471.58,350.30,939.86,
2026-04-22T14:47:20.305,1776858440.305964,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.1535,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.15 m | valid=1638/8532 | roi_mode=full,WARNING (z=1.47m),1,1,2,1,"[{""cx"":161.4,""cy"":475.92,""w"":320.14,""h"":948.54,""x1"":0,""y1"":0,""x2"":54,""y2"":158,""conf"":0.9439,""depth_m"":2.9866,""depth_valid"":true},{""cx"":684.33,""cy"":471.58,""w"":350.3,""h"":939.86,""x1"":85,""y1"":0,""x2"":144,""y2"":157,""conf"":0.9296,""depth_m"":null,""depth_valid"":false}]",0.9296,684.33,471.58,350.30,939.86,
2026-04-22T14:47:20.397,1776858440.397906,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.5091,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.51 m | valid=3703/12000 | roi_mode=full,SAFE (z=1.51m),0,1,2,1,"[{""cx"":665.44,""cy"":459.75,""w"":343.81,""h"":916.73,""x1"":83,""y1"":0,""x2"":140,""y2"":153,""conf"":0.9453,""depth_m"":null,""depth_valid"":false},{""cx"":225.31,""cy"":480.04,""w"":448.6,""h"":958.13,""x1"":0,""y1"":0,""x2"":75,""y2"":160,""conf"":0.892,""depth_m"":2.9833,""depth_valid"":true}]",0.8920,225.31,480.04,448.60,958.13,2.9833
2026-04-22T14:47:20.498,1776858440.498015,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.8558,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.86 m | valid=3673/12000 | roi_mode=full,SAFE (z=1.86m),0,1,2,1,"[{""cx"":665.44,""cy"":459.75,""w"":343.81,""h"":916.73,""x1"":83,""y1"":0,""x2"":140,""y2"":153,""conf"":0.9453,""depth_m"":null,""depth_valid"":false},{""cx"":225.31,""cy"":480.04,""w"":448.6,""h"":958.13,""x1"":0,""y1"":0,""x2"":75,""y2"":160,""conf"":0.892,""depth_m"":2.9833,""depth_valid"":true}]",0.8920,225.31,480.04,448.60,958.13,2.9833
2026-04-22T14:47:20.602,1776858440.602034,exp3_partial_occlusion,400_lux,partial_occlusion,1.700,,1.8502,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.85 m | valid=4001/13440 | roi_mode=full,SAFE (z=1.86m),0,0,2,1,"[{""cx"":660.97,""cy"":458.27,""w"":361.67,""h"":913.6,""x1"":80,""y1"":0,""x2"":141,""y2"":153,""conf"":0.9491,""depth_m"":null,""depth_valid"":false},{""cx"":251.0,""cy"":481.12,""w"":499.73,""h"":957.76,""x1"":0,""y1"":0,""x2"":84,""y2"":160,""conf"":0.9149,""depth_m"":2.9081,""depth_valid"":true}]",0.9149,251.00,481.12,499.73,957.76,2.9081
