wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,camera_intensity_ms,camera_disparity_ms,yolo_node_ms,yolo_infer_ms,yolo_queue_ms,depth_node_ms,depth_crop_ms,depth_distance_ms,depth_publish_ms,safety_node_ms,safety_eval_ms,safety_publish_ms,total_system_latency_ms
2026-04-27T14:50:52.040,1777290652.040724,exp_fast_headless,normal,headless_fast,,,0.5990,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.60 m | valid=89/11252 | roi_mode=torso,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,6.25,6.25,0.00,0.00,,,52.44,52.44,,,,,,,,,,,,52.44
2026-04-27T14:50:52.090,1777290652.090633,exp_fast_headless,normal,headless_fast,,,0.5990,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.60 m | valid=0/0 | roi_mode=torso,SAFE (z=0.60m),0,1,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,14.29,9.52,0.00,9.52,7.03,,21.87,37.34,21.87,,,,0.31,0.00,0.00,0.24,0.19,0.00,0.10,22.36
2026-04-27T14:50:52.139,1777290652.139620,exp_fast_headless,normal,headless_fast,,,0.5990,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.60 m | valid=0/0 | roi_mode=torso,SAFE (z=0.60m),0,0,1,1,"[{""cx"":511.6,""cy"":475.31,""w"":929.64,""h"":948.09,""x1"":8,""y1"":0,""x2"":163,""y2"":158,""conf"":0.8196,""depth_m"":1.8383,""depth_valid"":true}]",0.8196,511.60,475.31,929.64,948.09,1.8383,11.58,11.58,3.86,7.72,7.03,,52.53,52.53,21.87,,,,0.31,0.00,0.00,0.24,0.19,0.00,0.10,53.03
2026-04-27T14:50:52.189,1777290652.189839,exp_fast_headless,normal,headless_fast,,,0.5990,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.60 m | valid=0/0 | roi_mode=torso,SAFE (z=0.60m),0,0,1,1,"[{""cx"":511.6,""cy"":475.31,""w"":929.64,""h"":948.09,""x1"":8,""y1"":0,""x2"":163,""y2"":158,""conf"":0.8196,""depth_m"":1.8383,""depth_valid"":true}]",0.8196,511.60,475.31,929.64,948.09,1.8383,12.94,12.94,3.23,6.47,7.03,,0.34,35.83,0.34,,,,0.37,0.07,0.02,0.21,0.06,0.00,0.00,0.77
2026-04-27T14:50:52.240,1777290652.240514,exp_fast_headless,normal,headless_fast,,,0.5990,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.60 m | valid=0/0 | roi_mode=torso,SAFE (z=0.60m),0,0,1,1,"[{""cx"":511.6,""cy"":475.31,""w"":929.64,""h"":948.09,""x1"":8,""y1"":0,""x2"":163,""y2"":158,""conf"":0.8196,""depth_m"":1.8383,""depth_valid"":true}]",0.8196,511.60,475.31,929.64,948.09,1.8383,11.11,13.89,2.78,5.56,7.03,,35.82,35.82,0.34,,,,0.37,0.07,0.02,0.21,0.06,0.00,0.00,36.24
2026-04-27T14:50:52.290,1777290652.290724,exp_fast_headless,normal,headless_fast,,,0.5755,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=41/10695 | roi_mode=torso,SAFE (z=0.58m),0,1,1,1,"[{""cx"":511.6,""cy"":475.31,""w"":929.64,""h"":948.09,""x1"":8,""y1"":0,""x2"":163,""y2"":158,""conf"":0.8196,""depth_m"":1.8383,""depth_valid"":true}]",0.8196,511.60,475.31,929.64,948.09,1.8383,12.19,14.63,2.44,7.32,6.67,308.57,0.42,37.00,0.42,,,,0.93,0.17,0.34,0.25,0.18,0.00,0.12,1.54
2026-04-27T14:50:52.341,1777290652.341442,exp_fast_headless,normal,headless_fast,,,0.5755,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=41/10695 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,10.85,15.19,4.34,6.51,6.67,308.57,0.36,90.92,0.36,,,,0.93,0.17,0.34,0.25,0.18,0.00,0.12,1.47
2026-04-27T14:50:52.390,1777290652.390001,exp_fast_headless,normal,headless_fast,,,0.5755,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,DANGEROUS (z=0.58m),2,1,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.78,15.71,3.93,7.85,5.86,114.93,32.86,32.86,0.36,,,,0.42,0.11,0.03,0.20,1.00,0.01,0.85,34.29
2026-04-27T14:50:52.440,1777290652.439994,exp_fast_headless,normal,headless_fast,,,0.5755,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,1,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,12.51,16.09,3.58,8.94,80.35,189.43,0.27,34.17,0.27,,,,0.36,0.09,0.02,0.18,0.28,0.00,0.17,0.92
2026-04-27T14:50:52.489,1777290652.489965,exp_fast_headless,normal,headless_fast,,,0.5755,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.49,16.41,3.28,8.21,80.35,189.43,43.46,43.46,0.27,,,,0.36,0.09,0.02,0.18,0.28,0.00,0.17,44.10
2026-04-27T14:50:52.542,1777290652.542829,exp_fast_headless,normal,headless_fast,,,0.5755,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,12.08,16.61,3.02,9.06,9.91,307.06,31.04,36.15,31.04,,,,0.37,0.10,0.04,0.16,0.16,0.00,0.11,31.58
2026-04-27T14:50:52.591,1777290652.591637,exp_fast_headless,normal,headless_fast,,,0.5755,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.25,16.88,2.81,8.44,9.91,307.06,31.04,36.15,31.04,,,,0.37,0.10,0.04,0.16,0.16,0.00,0.11,31.58
2026-04-27T14:50:52.640,1777290652.640692,exp_fast_headless,normal,headless_fast,,,0.5757,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=23/11368 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.84,17.10,2.63,7.89,9.91,307.06,33.68,33.68,0.40,,,,2.19,0.17,0.41,1.51,0.06,0.00,0.00,35.92
2026-04-27T14:50:52.718,1777290652.718329,exp_fast_headless,normal,headless_fast,,,0.5757,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,DANGEROUS (z=0.58m),2,1,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.94,16.71,2.39,8.36,7.95,417.45,43.65,43.65,0.33,,,,0.51,0.00,0.00,0.44,0.25,0.00,0.19,44.41
2026-04-27T14:50:52.741,1777290652.741870,exp_fast_headless,normal,headless_fast,,,0.5757,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,DANGEROUS (z=0.58m),2,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.61,17.42,2.32,8.13,7.95,417.45,33.55,33.55,0.33,,,,0.51,0.00,0.00,0.44,0.25,0.00,0.19,34.31
2026-04-27T14:50:52.790,1777290652.790470,exp_fast_headless,normal,headless_fast,,,0.5757,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,DANGEROUS (z=0.58m),2,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,10.99,17.59,2.20,7.69,7.95,417.45,40.73,40.73,0.33,,,,0.51,0.00,0.00,0.44,0.25,0.00,0.19,41.48
2026-04-27T14:50:52.848,1777290652.848638,exp_fast_headless,normal,headless_fast,,,0.5757,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,1,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.36,17.56,2.07,8.26,7.22,580.00,33.18,33.18,0.67,,,,2.40,0.00,0.00,2.25,1.25,0.00,1.19,36.83
2026-04-27T14:50:52.895,1777290652.895089,exp_fast_headless,normal,headless_fast,,,0.5757,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,11.83,17.74,1.97,7.89,7.22,580.00,0.34,33.18,0.34,,,,0.59,0.00,0.00,0.40,0.12,0.00,0.00,1.05
2026-04-27T14:50:52.940,1777290652.940399,exp_fast_headless,normal,headless_fast,,,0.5757,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.58 m | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,22.07,22.07,0.00,22.07,79.18,688.90,0.64,31.95,0.64,,,,0.93,0.00,0.00,0.86,0.21,0.00,0.15,1.78
2026-04-27T14:50:52.990,1777290652.990061,exp_fast_headless,normal,headless_fast,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":485.4,""cy"":479.13,""w"":970.8,""h"":955.01,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9248,""depth_m"":1.7657,""depth_valid"":true}]",0.9248,485.40,479.13,970.80,955.01,1.7657,21.06,21.06,0.00,10.53,79.18,688.90,0.43,39.97,0.43,,,,0.33,0.00,0.00,0.23,0.06,0.00,0.00,0.82
2026-04-27T14:50:53.047,1777290653.047040,exp_fast_headless,normal,headless_fast,,,0.5844,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=14/11252 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":486.71,""cy"":479.05,""w"":973.43,""h"":955.56,""x1"":0,""y1"":0,""x2"":163,""y2"":159,""conf"":0.8333,""depth_m"":1.8001,""depth_valid"":true}]",0.8333,486.71,479.05,973.43,955.56,1.8001,19.74,19.74,6.58,6.58,79.18,688.90,35.51,35.51,0.70,,,,1.19,0.14,0.50,0.40,0.16,0.00,0.00,36.86
2026-04-27T14:50:53.131,1777290653.131961,exp_fast_headless,normal,headless_fast,,,0.5844,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=14/11252 | roi_mode=torso,SAFE (z=0.58m),0,0,1,1,"[{""cx"":486.71,""cy"":479.05,""w"":973.43,""h"":955.56,""x1"":0,""y1"":0,""x2"":163,""y2"":159,""conf"":0.8333,""depth_m"":1.8001,""depth_valid"":true}]",0.8333,486.71,479.05,973.43,955.56,1.8001,12.66,16.89,4.22,4.22,79.18,688.90,37.62,37.62,0.70,,,,1.19,0.14,0.50,0.40,0.16,0.00,0.00,38.98
2026-04-27T14:50:53.140,1777290653.140129,exp_fast_headless,normal,headless_fast,,,0.5856,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=26/11252 | roi_mode=torso,DANGEROUS (z=0.59m),2,1,1,1,"[{""cx"":486.71,""cy"":479.05,""w"":973.43,""h"":955.56,""x1"":0,""y1"":0,""x2"":163,""y2"":159,""conf"":0.8333,""depth_m"":1.8001,""depth_valid"":true}]",0.8333,486.71,479.05,973.43,955.56,1.8001,16.32,20.40,4.08,8.16,133.81,315.12,43.40,43.40,0.49,,,,2.06,0.10,0.46,1.43,3.55,0.00,0.08,49.01
2026-04-27T14:50:53.190,1777290653.189979,exp_fast_headless,normal,headless_fast,,,0.5856,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=26/11252 | roi_mode=torso,DANGEROUS (z=0.59m),2,0,1,1,"[{""cx"":486.71,""cy"":479.05,""w"":973.43,""h"":955.56,""x1"":0,""y1"":0,""x2"":163,""y2"":159,""conf"":0.8333,""depth_m"":1.8001,""depth_valid"":true}]",0.8333,486.71,479.05,973.43,955.56,1.8001,13.56,20.35,3.39,6.78,133.81,315.12,43.40,43.40,0.49,,,,2.06,0.10,0.46,1.43,3.55,0.00,0.08,49.01
2026-04-27T14:50:53.240,1777290653.240572,exp_fast_headless,normal,headless_fast,,,0.5856,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=26/11252 | roi_mode=torso,DANGEROUS (z=0.59m),2,0,1,1,"[{""cx"":484.53,""cy"":477.92,""w"":969.06,""h"":954.85,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9232,""depth_m"":1.7954,""depth_valid"":true}]",0.9232,484.53,477.92,969.06,954.85,1.7954,11.58,20.26,5.79,5.79,133.81,315.12,10.53,10.53,0.49,,,,2.06,0.10,0.46,1.43,3.55,0.00,0.08,16.14
2026-04-27T14:50:53.290,1777290653.290571,exp_fast_headless,normal,headless_fast,,,0.5864,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=31/11368 | roi_mode=torso,DANGEROUS (z=0.59m),2,0,1,1,"[{""cx"":484.53,""cy"":477.92,""w"":969.06,""h"":954.85,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9232,""depth_m"":1.7954,""depth_valid"":true}]",0.9232,484.53,477.92,969.06,954.85,1.7954,12.64,20.23,5.06,7.59,14.26,200.49,0.60,24.68,0.60,,,,1.41,0.12,0.35,0.85,0.16,0.00,0.10,2.18
2026-04-27T14:50:53.349,1777290653.349174,exp_fast_headless,normal,headless_fast,,,0.5864,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=31/11368 | roi_mode=torso,DANGEROUS (z=0.59m),2,0,1,1,"[{""cx"":484.53,""cy"":477.92,""w"":969.06,""h"":954.85,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9232,""depth_m"":1.7954,""depth_valid"":true}]",0.9232,484.53,477.92,969.06,954.85,1.7954,11.01,19.82,4.40,6.61,14.26,200.49,34.61,34.61,0.60,,,,1.41,0.12,0.35,0.85,0.16,0.00,0.10,36.18
2026-04-27T14:50:53.396,1777290653.396812,exp_fast_headless,normal,headless_fast,,,0.5869,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=22/11368 | roi_mode=torso,DANGEROUS (z=0.59m),2,0,1,1,"[{""cx"":484.53,""cy"":477.92,""w"":969.06,""h"":954.85,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9232,""depth_m"":1.7954,""depth_valid"":true}]",0.9232,484.53,477.92,969.06,954.85,1.7954,11.96,19.93,3.99,5.98,14.26,200.49,40.91,40.91,0.49,,,,1.13,0.15,0.55,0.28,0.06,0.00,0.00,42.11
2026-04-27T14:50:53.439,1777290653.439902,exp_fast_headless,normal,headless_fast,,,0.5847,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=16/11368 | roi_mode=torso,DANGEROUS (z=0.58m),2,1,1,1,"[{""cx"":484.53,""cy"":477.92,""w"":969.06,""h"":954.85,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9232,""depth_m"":1.7954,""depth_valid"":true}]",0.9232,484.53,477.92,969.06,954.85,1.7954,12.85,20.19,3.67,7.34,5.68,366.79,0.46,38.12,0.46,,,,0.85,0.10,0.40,0.26,0.22,0.01,0.14,1.54
2026-04-27T14:50:53.489,1777290653.489704,exp_fast_headless,normal,headless_fast,,,0.5857,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=21/11368 | roi_mode=torso,DANGEROUS (z=0.58m),2,0,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,13.45,20.18,5.05,6.73,5.68,366.79,0.29,38.55,0.29,,,,0.94,0.10,0.31,0.44,0.08,0.00,0.00,1.31
2026-04-27T14:50:53.540,1777290653.540000,exp_fast_headless,normal,headless_fast,,,0.5859,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=18/11368 | roi_mode=torso,DANGEROUS (z=0.58m),2,0,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,13.96,20.16,4.65,6.20,5.68,366.79,0.33,34.29,0.33,,,,0.62,0.13,0.23,0.18,0.05,0.00,0.00,1.01
2026-04-27T14:50:53.591,1777290653.591217,exp_fast_headless,normal,headless_fast,,,0.5836,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=20/11368 | roi_mode=torso,DANGEROUS (z=0.58m),2,0,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,14.37,20.11,4.31,7.18,5.86,233.13,0.34,45.36,0.34,,,,0.81,0.10,0.37,0.26,0.17,0.00,0.10,1.32
2026-04-27T14:50:53.641,1777290653.641964,exp_fast_headless,normal,headless_fast,,,0.5866,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=35/11368 | roi_mode=torso,DANGEROUS (z=0.58m),2,0,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,14.73,20.08,4.02,6.69,5.86,233.13,0.37,34.88,0.37,,,,0.56,0.08,0.24,0.17,0.06,0.00,0.00,0.99
2026-04-27T14:50:53.689,1777290653.689926,exp_fast_headless,normal,headless_fast,,,0.5866,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=16/11368 | roi_mode=torso,DANGEROUS (z=0.59m),2,1,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,15.10,20.13,3.77,7.55,11.82,354.54,0.37,34.74,0.37,,,,0.76,0.11,0.38,0.19,0.19,0.00,0.12,1.33
2026-04-27T14:50:53.742,1777290653.742089,exp_fast_headless,normal,headless_fast,,,0.5860,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=20/11368 | roi_mode=torso,DANGEROUS (z=0.59m),2,0,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,15.35,20.07,3.54,7.08,11.82,354.54,0.78,40.93,0.78,,,,0.85,0.15,0.37,0.22,0.07,0.00,0.00,1.69
2026-04-27T14:50:53.790,1777290653.790967,exp_fast_headless,normal,headless_fast,,,0.5860,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.59 m | valid=0/0 | roi_mode=torso,DANGEROUS (z=0.59m),2,0,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,15.63,20.09,3.35,6.70,11.82,354.54,0.46,39.53,0.46,,,,2.59,0.00,0.00,2.51,0.06,0.00,0.00,3.11
2026-04-27T14:50:53.840,1777290653.840673,exp_fast_headless,normal,headless_fast,,,0.5860,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.59 m | valid=0/0 | roi_mode=torso,SAFE (z=0.59m),0,1,1,1,"[{""cx"":484.4,""cy"":478.81,""w"":968.79,""h"":955.81,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9295,""depth_m"":1.7885,""depth_valid"":true}]",0.9295,484.40,478.81,968.79,955.81,1.7885,15.86,20.09,3.17,7.40,5.03,492.65,0.52,47.19,0.52,,,,1.38,0.00,0.00,1.31,0.16,0.00,0.10,2.07
2026-04-27T14:50:53.896,1777290653.896420,exp_fast_headless,normal,headless_fast,,,0.5860,0,1,0,detected=False | in_zone=False | depth_valid=True | z=0.59 m | valid=0/0 | roi_mode=torso,SAFE (z=0.59m),0,0,1,1,"[{""cx"":484.15,""cy"":478.12,""w"":968.3,""h"":955.28,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9104,""depth_m"":1.8013,""depth_valid"":true}]",0.9104,484.15,478.12,968.30,955.28,1.8013,15.98,19.97,3.99,6.99,5.03,492.65,0.32,30.06,0.32,,,,0.29,0.00,0.00,0.21,0.07,0.00,0.00,0.67
2026-04-27T14:50:53.943,1777290653.943049,exp_fast_headless,normal,headless_fast,,,0.5839,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.58 m | valid=17/11368 | roi_mode=torso,SAFE (z=0.59m),0,0,1,1,"[{""cx"":484.15,""cy"":478.12,""w"":968.3,""h"":955.28,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9104,""depth_m"":1.8013,""depth_valid"":true}]",0.9104,484.15,478.12,968.30,955.28,1.8013,21.44,21.44,0.00,0.00,5.03,492.65,2.13,33.04,2.13,,,,1.10,0.14,0.48,0.36,0.05,0.00,0.00,3.29
2026-04-27T14:50:53.990,1777290653.990179,exp_fast_headless,normal,headless_fast,,,0.5861,1,1,1,detected=True | in_zone=True | depth_valid=True | z=0.59 m | valid=33/11368 | roi_mode=torso,DANGEROUS (z=0.59m),2,1,1,1,"[{""cx"":484.15,""cy"":478.12,""w"":968.3,""h"":955.28,""x1"":0,""y1"":0,""x2"":162,""y2"":159,""conf"":0.9104,""depth_m"":1.8013,""depth_valid"":true}]",0.9104,484.15,478.12,968.30,955.28,1.8013,21.33,21.33,0.00,10.67,10.70,248.70,35.50,35.50,0.63,,,,0.64,0.10,0.29,0.18,0.15,0.00,0.10,36.29
