wall_time_iso,experiment_id,scenario,person_z_m,person_detected,depth_valid,safety_state_text,safety_level,det_count,closest_det_conf,closest_bbox_cx,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,pubsub_ms_cam_to_yolo,pubsub_ms_cam_to_depth,pubsub_ms_yolo_to_depth,pubsub_ms_depth_to_safety,pubsub_total_ms,camera_disparity_ms,yolo_infer_ms,depth_node_ms,safety_node_ms,total_system_latency_ms
2026-04-27T15:18:50.615,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,0.00,4.51,0.00,0.00,,,,,,,,,,,,
2026-04-27T15:18:50.654,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,0.00,7.67,0.00,0.00,,,,,,,,0.32,,,,0.32
2026-04-27T15:18:50.702,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,0.00,9.70,0.00,0.00,,,,,,,,0.32,,,,40.97
2026-04-27T15:18:50.752,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,0.00,11.13,0.00,0.00,,,,,,,,35.28,,,,35.28
2026-04-27T15:18:50.807,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,0.00,12.06,0.00,0.00,,,,,,,,0.37,,,,0.37
2026-04-27T15:18:50.854,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,0.00,13.02,0.00,0.00,,,,,,,,0.72,,,,0.72
2026-04-27T15:18:50.902,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,1.96,13.75,0.00,0.00,,,,3.37,,,3.37,0.38,,3.37,,3.75
2026-04-27T15:18:50.952,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,1.79,14.30,0.00,0.00,,,,3.37,,,3.37,0.38,,3.37,,32.49
2026-04-27T15:18:51.005,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,3.26,14.69,0.00,0.00,,,,0.97,187.13,,188.09,0.34,,4.25,,42.38
2026-04-27T15:18:51.062,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,4.48,14.93,0.00,0.00,,,,0.93,187.13,,188.05,0.34,,0.42,,0.76
2026-04-27T15:18:51.102,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,7.05,15.50,0.00,0.00,,,,0.79,187.13,,187.92,0.40,,1.67,,2.08
2026-04-27T15:18:51.152,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,7.90,15.81,0.00,0.00,,,,0.98,187.13,,188.10,0.33,,0.55,,0.89
2026-04-27T15:18:51.202,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,8.65,16.06,0.00,0.00,,,15.13,21.09,187.13,,223.35,2.63,,0.55,,3.18
2026-04-27T15:18:51.254,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,8.13,16.27,0.00,0.00,,,15.13,21.09,187.13,,223.35,2.63,,3.10,,44.10
2026-04-27T15:18:51.302,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,8.80,16.49,0.00,0.00,,,15.13,4.44,187.13,,206.70,0.54,,0.56,,1.10
2026-04-27T15:18:51.352,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,9.38,16.68,1.04,0.00,,,15.13,0.76,147.79,,163.68,0.29,126.53,0.26,,128.54
2026-04-27T15:18:51.402,exp_fast_headless,headless_fast,-1.0000,0,0,,0,0,0.0000,-1.00,9.91,16.84,0.99,0.00,,,15.13,9.05,147.79,,171.97,0.48,126.53,0.34,,128.81
