wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,yolo_node_ms,depth_node_ms,safety_node_ms,total_system_latency_ms
2026-04-24T14:46:56.923,1777031216.923638,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,9.01,4.51,0.00,4.51,22.24,,0.61,,0.63,0.15,22.24
2026-04-24T14:46:57.022,1777031217.022954,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.78,""cy"":442.64,""w"":88.89,""h"":91.38,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8356,""depth_m"":null,""depth_valid"":false}]",0.8356,437.78,442.64,88.89,91.38,,9.34,6.23,3.11,6.23,9.46,1885.56,0.56,201.90,0.88,0.14,1885.56
2026-04-24T14:46:57.122,1777031217.122847,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.21,""cy"":442.67,""w"":89.59,""h"":91.07,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8245,""depth_m"":null,""depth_valid"":false}]",0.8245,438.21,442.67,89.59,91.07,,7.12,7.12,4.75,4.75,9.46,1885.56,36.27,165.75,0.88,0.14,1885.56
2026-04-24T14:46:57.222,1777031217.222935,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.21,""cy"":442.67,""w"":89.59,""h"":91.07,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8245,""depth_m"":null,""depth_valid"":false}]",0.8245,438.21,442.67,89.59,91.07,,7.68,7.68,3.84,5.76,3.61,2030.98,0.34,165.75,0.89,0.14,2030.98
2026-04-24T14:46:57.323,1777031217.322986,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.71,""cy"":442.67,""w"":89.44,""h"":91.45,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8437,""depth_m"":null,""depth_valid"":false}]",0.8437,437.71,442.67,89.44,91.45,,9.66,8.05,4.83,4.83,3.61,2030.98,1.61,131.31,4.95,0.08,2030.98
2026-04-24T14:46:57.423,1777031217.423003,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.71,""cy"":442.67,""w"":89.44,""h"":91.45,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8437,""depth_m"":null,""depth_valid"":false}]",0.8437,437.71,442.67,89.44,91.45,,8.32,8.32,4.16,4.16,3.61,2030.98,42.08,131.31,4.95,0.08,2030.98
2026-04-24T14:46:57.523,1777031217.523535,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.06,""cy"":442.77,""w"":89.98,""h"":91.78,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8357,""depth_m"":null,""depth_valid"":false}]",0.8357,438.06,442.77,89.98,91.78,,8.52,8.52,4.87,4.87,157.44,2050.51,32.04,270.14,0.40,1.79,2050.51
2026-04-24T14:46:57.623,1777031217.623043,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.06,""cy"":442.77,""w"":89.98,""h"":91.78,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8357,""depth_m"":null,""depth_valid"":false}]",0.8357,438.06,442.77,89.98,91.78,,9.77,8.68,4.34,5.43,4.27,2079.65,0.40,270.14,0.48,0.15,2079.65
2026-04-24T14:46:57.724,1777031217.724944,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.31,""cy"":442.83,""w"":90.02,""h"":91.86,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8338,""depth_m"":null,""depth_valid"":false}]",0.8338,438.31,442.83,90.02,91.86,,9.77,8.80,4.89,5.86,5.42,2192.19,38.46,203.27,0.44,0.16,2192.19
2026-04-24T14:46:57.823,1777031217.823318,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.31,""cy"":442.83,""w"":90.02,""h"":91.86,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8338,""depth_m"":null,""depth_valid"":false}]",0.8338,438.31,442.83,90.02,91.86,,10.16,10.16,0.00,10.16,5.75,2277.52,2.28,203.27,0.37,0.16,2277.52
2026-04-24T14:46:57.923,1777031217.923343,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.35,""cy"":442.74,""w"":90.4,""h"":91.42,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.832,""depth_m"":null,""depth_valid"":false}]",0.8320,438.35,442.74,90.40,91.42,,15.12,10.08,5.04,10.08,19.45,2376.46,32.86,183.19,3.26,0.26,2376.46
2026-04-24T14:46:58.032,1777031218.032764,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":438.35,""cy"":442.74,""w"":90.4,""h"":91.42,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.832,""depth_m"":null,""depth_valid"":false}]",0.8320,438.35,442.74,90.40,91.42,,9.75,9.75,3.25,6.50,19.45,2376.46,34.53,183.19,3.26,0.26,2376.46
2026-04-24T14:46:58.124,1777031218.124540,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.98,""cy"":442.77,""w"":90.65,""h"":91.62,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8385,""depth_m"":null,""depth_valid"":false}]",0.8385,437.98,442.77,90.65,91.62,,12.51,10.01,5.00,7.51,14.53,2517.51,1.55,196.31,0.77,0.09,2517.51
2026-04-24T14:46:58.224,1777031218.224252,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.68,""cy"":443.02,""w"":89.78,""h"":91.59,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8382,""depth_m"":null,""depth_valid"":false}]",0.8382,437.68,443.02,89.78,91.59,,10.01,10.01,6.01,6.01,14.53,2517.51,1.55,105.89,3.88,0.09,2517.51
2026-04-24T14:46:58.323,1777031218.323130,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.68,""cy"":443.02,""w"":89.78,""h"":91.59,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8382,""depth_m"":null,""depth_valid"":false}]",0.8382,437.68,443.02,89.78,91.59,,11.70,10.03,5.02,6.69,12.51,1274.20,0.49,105.89,0.64,0.05,1274.20
2026-04-24T14:46:58.426,1777031218.426097,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.65,""cy"":442.84,""w"":88.94,""h"":91.26,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8384,""depth_m"":null,""depth_valid"":false}]",0.8384,437.65,442.84,88.94,91.26,,11.41,9.98,5.70,7.13,92.82,1392.31,36.86,169.93,1.80,0.19,1392.31
2026-04-24T14:46:58.532,1777031218.532242,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.65,""cy"":442.84,""w"":88.94,""h"":91.26,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8384,""depth_m"":null,""depth_valid"":false}]",0.8384,437.65,442.84,88.94,91.26,,11.15,9.91,4.95,7.43,125.05,1432.20,0.86,169.93,1.02,1.19,1432.20
2026-04-24T14:46:58.622,1777031218.622828,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.55,""cy"":442.96,""w"":89.08,""h"":91.06,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8435,""depth_m"":null,""depth_valid"":false}]",0.8435,437.55,442.96,89.08,91.06,,11.14,10.02,5.57,7.80,11.72,1184.52,0.29,190.39,1.88,0.15,1184.52
2026-04-24T14:46:58.725,1777031218.725396,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.55,""cy"":442.96,""w"":89.08,""h"":91.06,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8435,""depth_m"":null,""depth_valid"":false}]",0.8435,437.55,442.96,89.08,91.06,,11.99,10.00,5.00,7.00,11.72,1184.52,34.97,190.39,3.10,0.06,1184.52
2026-04-24T14:46:58.823,1777031218.823426,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":437.4,""cy"":443.15,""w"":89.33,""h"":91.0,""x1"":66,""y1"":66,""x2"":81,""y2"":81,""conf"":0.8389,""depth_m"":null,""depth_valid"":false}]",0.8389,437.40,443.15,89.33,91.00,,30.61,10.20,10.20,10.20,6.23,1306.08,0.38,143.36,0.41,0.07,1306.08
