wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,yolo_node_ms,depth_node_ms,safety_node_ms,total_system_latency_ms
2026-04-24T15:16:34.531,1777032994.531412,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,,,0,0,1,0,"[{""cx"":427.32,""cy"":441.68,""w"":81.17,""h"":94.91,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.8071,""depth_m"":null,""depth_valid"":false}]",0.8071,427.32,441.68,81.17,94.91,,0.00,4.35,4.35,0.00,,,47.51,188.64,,,236.15
2026-04-24T15:16:34.629,1777032994.629799,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,,,0,0,1,0,"[{""cx"":427.32,""cy"":441.68,""w"":81.17,""h"":94.91,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.8071,""depth_m"":null,""depth_valid"":false}]",0.8071,427.32,441.68,81.17,94.91,,0.00,6.09,3.05,0.00,,,37.59,188.64,,,226.23
2026-04-24T15:16:34.729,1777032994.729781,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,,,0,0,1,0,"[{""cx"":427.13,""cy"":441.66,""w"":84.33,""h"":95.41,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.8038,""depth_m"":null,""depth_valid"":false}]",0.8038,427.13,441.66,84.33,95.41,,0.00,7.01,4.67,0.00,,,37.37,129.21,,,166.58
2026-04-24T15:16:34.829,1777032994.829854,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,,,0,0,1,0,"[{""cx"":428.96,""cy"":442.02,""w"":82.33,""h"":95.3,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.8036,""depth_m"":null,""depth_valid"":false}]",0.8036,428.96,442.02,82.33,95.30,,0.00,7.57,5.68,0.00,,,10.09,126.27,,,136.36
2026-04-24T15:16:34.930,1777032994.930256,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,,,0,0,1,0,"[{""cx"":429.77,""cy"":441.72,""w"":81.62,""h"":94.73,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7943,""depth_m"":null,""depth_valid"":false}]",0.7943,429.77,441.72,81.62,94.73,,0.00,7.95,6.36,0.00,,,42.64,133.16,,,175.80
2026-04-24T15:16:35.029,1777032995.029883,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,,,0,0,1,0,"[{""cx"":429.77,""cy"":441.72,""w"":81.62,""h"":94.73,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7943,""depth_m"":null,""depth_valid"":false}]",0.7943,429.77,441.72,81.62,94.73,,0.00,8.24,5.49,0.00,,,51.10,133.16,,,184.26
2026-04-24T15:16:35.129,1777032995.129713,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":430.58,""cy"":442.04,""w"":79.79,""h"":94.44,""x1"":195,""y1"":197,""x2"":235,""y2"":245,""conf"":0.7972,""depth_m"":null,""depth_valid"":false}]",0.7972,430.58,442.04,79.79,94.44,,1.21,8.45,6.04,1.21,3.51,380.27,59.51,169.62,1.76,2.01,232.89
2026-04-24T15:16:35.231,1777032995.231483,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":430.43,""cy"":442.04,""w"":79.79,""h"":94.54,""x1"":195,""y1"":197,""x2"":235,""y2"":245,""conf"":0.8029,""depth_m"":null,""depth_valid"":false}]",0.8029,430.43,442.04,79.79,94.54,,1.08,8.60,6.45,1.08,3.51,380.27,56.15,130.05,1.76,2.01,189.97
2026-04-24T15:16:35.329,1777032995.329815,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":430.43,""cy"":442.04,""w"":79.79,""h"":94.54,""x1"":195,""y1"":197,""x2"":235,""y2"":245,""conf"":0.8029,""depth_m"":null,""depth_valid"":false}]",0.8029,430.43,442.04,79.79,94.54,,0.97,8.75,5.84,0.97,3.51,380.27,62.31,130.05,1.76,2.01,196.12
2026-04-24T15:16:35.430,1777032995.429983,exp_latency_final,400_lux,latency_measurement,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":430.52,""cy"":441.74,""w"":79.34,""h"":94.73,""x1"":195,""y1"":197,""x2"":235,""y2"":245,""conf"":0.7976,""depth_m"":null,""depth_valid"":false}]",0.7976,430.52,441.74,79.34,94.73,,9.98,9.98,9.98,9.98,4.98,364.38,11.19,115.61,1.52,0.22,128.53
