wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,camera_intensity_ms,camera_disparity_ms,yolo_node_ms,yolo_infer_ms,yolo_queue_ms,depth_node_ms,depth_crop_ms,depth_distance_ms,depth_publish_ms,safety_node_ms,safety_eval_ms,safety_publish_ms,total_system_latency_ms
2026-04-24T16:01:37.555,1777035697.555949,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,3.77,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:37.655,1777035697.655944,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,5.48,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:37.755,1777035697.755685,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,6.45,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:37.856,1777035697.856395,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,7.07,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:37.955,1777035697.955839,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,7.52,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:38.055,1777035698.055904,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,7.84,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:38.155,1777035698.155630,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,8.09,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:38.255,1777035698.255799,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,8.29,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:38.355,1777035698.355784,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,0.00,8.45,0.00,0.00,,,,,,,,,,,,,,,,
2026-04-24T16:01:38.456,1777035698.456760,exp_latency_highq_repeat,400_lux,latency_high_quality_depth,,High quality depth image latency retest (staged metrics enabled).,-1.0000,0,0,0,,,0,0,1,0,"[{""cx"":844.66,""cy"":437.74,""w"":88.03,""h"":103.22,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6054,""depth_m"":null,""depth_valid"":false}]",0.6054,844.66,437.74,88.03,103.22,,0.00,9.90,39.61,0.00,,,,,,129.88,128.48,343.88,,,,,,,,129.88
