wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,yolo_node_ms,depth_node_ms,safety_node_ms,total_system_latency_ms
2026-04-24T15:07:48.753,1777032468.753044,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,11.72,3.91,0.00,3.91,,,29.78,,1.97,0.16,31.91
2026-04-24T15:07:48.841,1777032468.841210,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.73,""cy"":447.6,""w"":90.39,""h"":84.83,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8011,""depth_m"":null,""depth_valid"":false}]",0.8011,436.73,447.60,90.39,84.83,,11.63,5.81,2.91,5.81,3.97,1659.28,39.04,199.67,0.64,0.14,239.50
2026-04-24T15:07:48.941,1777032468.941187,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.27,""cy"":447.61,""w"":90.73,""h"":84.95,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8108,""depth_m"":null,""depth_valid"":false}]",0.8108,436.27,447.61,90.73,84.95,,13.51,6.76,4.50,6.76,3.92,1617.50,2.57,138.31,0.39,0.18,141.45
2026-04-24T15:07:49.041,1777032469.041245,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.45,""cy"":447.63,""w"":90.51,""h"":85.0,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7992,""depth_m"":null,""depth_valid"":false}]",0.7992,436.45,447.63,90.51,85.00,,12.87,7.35,5.51,5.51,3.92,1617.50,0.45,141.19,0.69,1.01,143.33
2026-04-24T15:07:49.141,1777032469.141248,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.45,""cy"":447.63,""w"":90.51,""h"":85.0,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7992,""depth_m"":null,""depth_valid"":false}]",0.7992,436.45,447.63,90.51,85.00,,10.87,7.76,4.66,4.66,3.92,1617.50,41.30,141.19,0.69,1.01,184.19
2026-04-24T15:07:49.241,1777032469.241301,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.67,""cy"":447.75,""w"":90.82,""h"":85.01,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.8032,""depth_m"":null,""depth_valid"":false}]",0.8032,436.67,447.75,90.82,85.01,,12.09,8.06,5.38,5.38,20.10,1177.69,35.62,152.07,1.59,0.12,189.39
2026-04-24T15:07:49.342,1777032469.342137,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.57,""cy"":447.69,""w"":90.9,""h"":85.14,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.8063,""depth_m"":null,""depth_valid"":false}]",0.8063,436.57,447.69,90.90,85.14,,11.83,8.28,5.92,5.92,4.41,1228.27,37.69,150.48,0.45,0.13,188.75
2026-04-24T15:07:49.449,1777032469.449767,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.57,""cy"":447.69,""w"":90.9,""h"":85.14,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.8063,""depth_m"":null,""depth_valid"":false}]",0.8063,436.57,447.69,90.90,85.14,,11.55,8.40,5.25,6.30,4.19,1313.97,48.18,150.48,0.38,0.14,199.17
2026-04-24T15:07:49.542,1777032469.542918,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.65,""cy"":447.61,""w"":90.92,""h"":85.03,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.8046,""depth_m"":null,""depth_valid"":false}]",0.8046,436.65,447.61,90.92,85.03,,11.47,8.61,5.74,6.69,112.07,1421.84,0.52,164.32,5.93,0.17,170.94
2026-04-24T15:07:49.643,1777032469.643786,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.56,""cy"":447.71,""w"":90.21,""h"":84.97,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7997,""depth_m"":null,""depth_valid"":false}]",0.7997,436.56,447.71,90.21,84.97,,9.92,9.92,9.92,9.92,131.57,1448.05,0.43,130.93,0.45,0.15,131.96
2026-04-24T15:07:49.747,1777032469.747328,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.56,""cy"":447.71,""w"":90.21,""h"":84.97,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7997,""depth_m"":null,""depth_valid"":false}]",0.7997,436.56,447.71,90.21,84.97,,9.78,9.78,4.89,4.89,131.57,1448.05,0.76,130.93,3.24,0.06,134.99
2026-04-24T15:07:49.841,1777032469.841180,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.49,""cy"":447.67,""w"":90.62,""h"":85.1,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8055,""depth_m"":null,""depth_valid"":false}]",0.8055,436.49,447.67,90.62,85.10,,10.06,10.06,6.71,6.71,5.50,1134.17,46.52,138.94,0.72,0.26,186.44
2026-04-24T15:07:49.941,1777032469.941433,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.99,""cy"":447.69,""w"":90.57,""h"":84.91,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.793,""depth_m"":null,""depth_valid"":false}]",0.7930,436.99,447.69,90.57,84.91,,10.04,10.04,7.53,5.02,5.50,1134.17,46.25,155.16,0.72,0.10,202.24
2026-04-24T15:07:50.041,1777032470.041195,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.99,""cy"":447.69,""w"":90.57,""h"":84.91,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.793,""depth_m"":null,""depth_valid"":false}]",0.7930,436.99,447.69,90.57,84.91,,12.04,10.03,6.02,6.02,5.11,1227.31,0.85,155.16,0.71,1.94,158.66
2026-04-24T15:07:50.141,1777032470.141226,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.66,""cy"":447.51,""w"":90.43,""h"":84.84,""x1"":98,""y1"":101,""x2"":120,""y2"":122,""conf"":0.7979,""depth_m"":null,""depth_valid"":false}]",0.7979,436.66,447.51,90.43,84.84,,11.70,10.03,6.69,6.69,4.77,1303.80,0.28,150.21,0.79,0.30,151.58
2026-04-24T15:07:50.241,1777032470.241201,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.64,""cy"":447.7,""w"":90.87,""h"":85.18,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.8049,""depth_m"":null,""depth_valid"":false}]",0.8049,436.64,447.70,90.87,85.18,,11.46,10.02,7.16,7.16,9.34,1362.22,0.61,115.26,0.41,0.24,116.52
2026-04-24T15:07:50.341,1777032470.341224,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.9580,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.96 m | valid=6/484 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.54,""cy"":447.81,""w"":90.78,""h"":85.16,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.802,""depth_m"":null,""depth_valid"":false}]",0.8020,436.54,447.81,90.78,85.16,,11.27,10.02,7.52,6.26,9.34,1362.22,1.40,96.35,0.65,0.06,98.46
2026-04-24T15:07:50.441,1777032470.441239,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.9580,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.96 m | valid=0/0 | roi_mode=full,SAFE (z=1.96m),0,1,1,0,"[{""cx"":436.54,""cy"":447.81,""w"":90.78,""h"":85.16,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.802,""depth_m"":null,""depth_valid"":false}]",0.8020,436.54,447.81,90.78,85.16,,11.13,10.02,6.68,6.68,3.65,1222.58,0.46,96.35,0.40,0.13,97.33
2026-04-24T15:07:50.541,1777032470.541122,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.9580,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.96 m | valid=0/0 | roi_mode=full,SAFE (z=1.96m),0,0,1,0,"[{""cx"":436.66,""cy"":447.69,""w"":90.47,""h"":85.13,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7997,""depth_m"":null,""depth_valid"":false}]",0.7997,436.66,447.69,90.47,85.13,,12.02,10.02,7.01,6.01,3.65,1222.58,0.40,140.05,2.06,0.06,142.56
2026-04-24T15:07:50.641,1777032470.641309,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.9580,0,1,0,detected=False | in_zone=False | depth_valid=True | z=1.96 m | valid=0/0 | roi_mode=full,SAFE (z=1.96m),0,0,1,0,"[{""cx"":436.64,""cy"":447.82,""w"":90.89,""h"":84.79,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.7861,""depth_m"":null,""depth_valid"":false}]",0.7861,436.64,447.82,90.89,84.79,,11.84,10.01,7.28,6.37,5.60,1162.53,34.72,107.08,0.48,0.19,142.48
2026-04-24T15:07:50.741,1777032470.741237,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=1.96m),0,0,1,0,"[{""cx"":436.4,""cy"":447.56,""w"":90.86,""h"":84.95,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.803,""depth_m"":null,""depth_valid"":false}]",0.8030,436.40,447.56,90.86,84.95,,10.01,10.01,10.01,0.00,5.60,1162.53,46.65,126.30,0.44,0.08,173.47
2026-04-24T15:07:50.841,1777032470.841360,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,1,1,0,"[{""cx"":436.77,""cy"":447.66,""w"":90.16,""h"":85.02,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7916,""depth_m"":null,""depth_valid"":false}]",0.7916,436.77,447.66,90.16,85.02,,15.00,10.00,10.00,5.00,16.02,1258.04,0.57,120.22,0.47,0.06,121.32
2026-04-24T15:07:50.941,1777032470.941274,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.77,""cy"":447.66,""w"":90.16,""h"":85.02,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7916,""depth_m"":null,""depth_valid"":false}]",0.7916,436.77,447.66,90.16,85.02,,13.33,10.00,6.67,6.67,13.58,1336.06,44.43,120.22,1.97,0.14,166.76
2026-04-24T15:07:51.041,1777032471.041192,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.31,""cy"":447.78,""w"":91.06,""h"":85.32,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8052,""depth_m"":null,""depth_valid"":false}]",0.8052,436.31,447.78,91.06,85.32,,12.50,10.00,7.50,5.00,13.58,1336.06,48.28,138.07,0.43,0.07,186.85
2026-04-24T15:07:51.141,1777032471.141245,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.64,""cy"":447.67,""w"":90.56,""h"":85.01,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.7962,""depth_m"":null,""depth_valid"":false}]",0.7962,436.64,447.67,90.56,85.01,,12.00,10.00,8.00,6.00,111.52,1485.02,47.93,133.14,4.64,1.10,186.81
2026-04-24T15:07:51.241,1777032471.241224,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.9580,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.96 m | valid=8/484 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":436.56,""cy"":447.79,""w"":90.3,""h"":84.9,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8022,""depth_m"":null,""depth_valid"":false}]",0.8022,436.56,447.79,90.30,84.90,,13.34,10.00,8.33,6.67,135.48,1299.58,2.29,135.92,5.97,0.07,144.24
2026-04-24T15:07:51.341,1777032471.341237,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.7570,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.76 m | valid=153/484 | roi_mode=full,SAFE (z=1.76m),0,1,1,0,"[{""cx"":436.56,""cy"":447.79,""w"":90.3,""h"":84.9,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8022,""depth_m"":null,""depth_valid"":false}]",0.8022,436.56,447.79,90.30,84.90,,12.86,10.00,7.14,7.14,14.39,1349.57,0.43,135.92,1.05,0.25,137.65
2026-04-24T15:07:51.441,1777032471.441305,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.7934,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.79 m | valid=190/484 | roi_mode=full,SAFE (z=1.76m),0,0,1,0,"[{""cx"":436.77,""cy"":447.68,""w"":90.32,""h"":84.69,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.792,""depth_m"":null,""depth_valid"":false}]",0.7920,436.77,447.68,90.32,84.69,,12.50,10.00,7.50,6.25,14.39,1349.57,0.43,125.09,0.79,0.06,126.36
2026-04-24T15:07:51.541,1777032471.541460,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.4963,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.50 m | valid=333/484 | roi_mode=full,WARNING (z=1.50m),1,1,1,1,"[{""cx"":436.77,""cy"":447.74,""w"":90.86,""h"":84.57,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.7879,""depth_m"":2.8542,""depth_valid"":true}]",0.7879,436.77,447.74,90.86,84.57,2.8542,12.22,10.00,7.78,6.67,12.68,1308.20,44.45,152.07,2.23,0.23,198.99
2026-04-24T15:07:51.641,1777032471.641170,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.4694,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.47 m | valid=483/506 | roi_mode=full,WARNING (z=1.47m),1,1,1,1,"[{""cx"":436.44,""cy"":447.75,""w"":90.71,""h"":85.15,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8021,""depth_m"":2.9328,""depth_valid"":true}]",0.8021,436.44,447.75,90.71,85.15,2.9328,12.00,10.00,8.00,7.00,4.14,1321.71,46.66,121.79,2.43,0.15,171.02
2026-04-24T15:07:51.741,1777032471.741238,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.4667,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.47 m | valid=462/484 | roi_mode=full,WARNING (z=1.47m),1,0,1,1,"[{""cx"":436.44,""cy"":447.75,""w"":90.71,""h"":85.15,""x1"":98,""y1"":101,""x2"":120,""y2"":123,""conf"":0.8021,""depth_m"":2.9328,""depth_valid"":true}]",0.8021,436.44,447.75,90.71,85.15,2.9328,11.82,10.00,7.27,7.27,141.68,1376.20,0.51,121.79,0.85,0.29,123.43
2026-04-24T15:07:51.841,1777032471.841193,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.4664,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.47 m | valid=479/484 | roi_mode=full,WARNING (z=1.47m),1,0,1,1,"[{""cx"":436.8,""cy"":447.7,""w"":90.86,""h"":84.97,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.7936,""depth_m"":2.9328,""depth_valid"":true}]",0.7936,436.80,447.70,90.86,84.97,2.9328,10.00,10.00,10.00,0.00,141.68,1376.20,38.24,121.99,1.20,0.13,161.57
2026-04-24T15:07:51.941,1777032471.941199,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.4689,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.47 m | valid=471/506 | roi_mode=full,WARNING (z=1.47m),1,0,2,1,"[{""cx"":112.7,""cy"":474.56,""w"":224.47,""h"":942.8,""x1"":0,""y1"":1,""x2"":56,""y2"":236,""conf"":0.9034,""depth_m"":null,""depth_valid"":false},{""cx"":436.86,""cy"":447.77,""w"":90.6,""h"":85.1,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.7872,""depth_m"":2.939,""depth_valid"":true}]",0.9034,112.70,474.56,224.47,942.80,,10.00,10.00,10.00,5.00,4.41,1494.54,43.06,131.78,0.86,0.14,175.83
2026-04-24T15:07:52.041,1777032472.041469,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.4446,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.44 m | valid=473/506 | roi_mode=full,WARNING (z=1.47m),1,0,2,1,"[{""cx"":119.44,""cy"":479.85,""w"":237.92,""h"":951.46,""x1"":0,""y1"":1,""x2"":60,""y2"":239,""conf"":0.9302,""depth_m"":null,""depth_valid"":false},{""cx"":436.69,""cy"":447.8,""w"":90.97,""h"":84.69,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.7836,""depth_m"":2.8839,""depth_valid"":true}]",0.9302,119.44,479.85,237.92,951.46,,9.99,9.99,9.99,3.33,4.41,1494.54,44.20,135.71,1.24,0.06,181.21
2026-04-24T15:07:52.141,1777032472.141300,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.4029,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.40 m | valid=275/506 | roi_mode=full,WARNING (z=1.40m),1,1,2,1,"[{""cx"":119.44,""cy"":479.85,""w"":237.92,""h"":951.46,""x1"":0,""y1"":1,""x2"":60,""y2"":239,""conf"":0.9302,""depth_m"":null,""depth_valid"":false},{""cx"":436.69,""cy"":447.8,""w"":90.97,""h"":84.69,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.7836,""depth_m"":2.8839,""depth_valid"":true}]",0.9302,119.44,479.85,237.92,951.46,,10.00,10.00,7.50,5.00,8.22,1261.70,52.33,135.71,1.25,0.26,189.54
2026-04-24T15:07:52.241,1777032472.241189,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.3937,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.39 m | valid=58/506 | roi_mode=full,WARNING (z=1.40m),1,0,2,1,"[{""cx"":191.99,""cy"":476.16,""w"":383.98,""h"":944.28,""x1"":0,""y1"":1,""x2"":96,""y2"":237,""conf"":0.9162,""depth_m"":null,""depth_valid"":false},{""cx"":437.07,""cy"":447.82,""w"":90.45,""h"":84.5,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.7378,""depth_m"":2.7825,""depth_valid"":true}]",0.9162,191.99,476.16,383.98,944.28,,10.00,10.00,8.00,4.00,8.22,1261.70,52.49,136.80,1.41,2.77,193.46
2026-04-24T15:07:52.341,1777032472.341226,exp_latency_nodes_only,400_lux,latency_nodes_only,,,1.3852,1,1,1,detected=True | in_zone=True | depth_valid=True | z=1.39 m | valid=22/506 | roi_mode=full,WARNING (z=1.39m),1,1,2,2,"[{""cx"":213.51,""cy"":479.78,""w"":398.43,""h"":951.33,""x1"":4,""y1"":1,""x2"":103,""y2"":239,""conf"":0.9129,""depth_m"":2.9453,""depth_valid"":true},{""cx"":437.53,""cy"":447.87,""w"":89.42,""h"":84.71,""x1"":98,""y1"":101,""x2"":121,""y2"":123,""conf"":0.6891,""depth_m"":2.7825,""depth_valid"":true}]",0.9129,213.51,479.78,398.43,951.33,2.9453,10.00,10.00,8.33,5.00,151.70,1237.52,42.50,81.56,1.68,0.22,125.97
