wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,camera_intensity_ms,camera_disparity_ms,yolo_node_ms,yolo_infer_ms,yolo_queue_ms,depth_node_ms,depth_crop_ms,depth_distance_ms,depth_publish_ms,safety_node_ms,safety_eval_ms,safety_publish_ms,total_system_latency_ms
2026-04-24T15:42:01.826,1777034521.826356,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,,,0,0,2,0,"[{""cx"":857.14,""cy"":445.26,""w"":85.91,""h"":124.14,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6876,""depth_m"":null,""depth_valid"":false},{""cx"":590.05,""cy"":438.03,""w"":57.0,""h"":101.32,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6657,""depth_m"":null,""depth_valid"":false}]",0.6876,857.14,445.26,85.91,124.14,,0.00,3.72,3.72,0.00,,,65.82,65.82,,196.37,194.61,,,,,,,,,262.20
2026-04-24T15:42:01.926,1777034521.926100,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":857.14,""cy"":445.26,""w"":85.91,""h"":124.14,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6876,""depth_m"":null,""depth_valid"":false},{""cx"":590.05,""cy"":438.03,""w"":57.0,""h"":101.32,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6657,""depth_m"":null,""depth_valid"":false}]",0.6876,857.14,445.26,85.91,124.14,,2.72,5.43,2.72,2.72,,583.74,52.05,52.05,9.01,196.37,194.61,17.16,1.03,0.25,0.07,0.50,1.13,0.00,0.14,250.58
2026-04-24T15:42:02.026,1777034522.026219,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":857.36,""cy"":445.15,""w"":85.55,""h"":124.47,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6834,""depth_m"":null,""depth_valid"":false},{""cx"":593.05,""cy"":439.36,""w"":61.02,""h"":99.56,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6535,""depth_m"":null,""depth_valid"":false}]",0.6834,857.36,445.15,85.55,124.47,,2.13,6.40,4.27,2.13,,583.74,52.05,52.05,9.01,94.56,92.51,17.16,1.03,0.25,0.07,0.50,1.13,0.00,0.14,148.77
2026-04-24T15:42:02.126,1777034522.126522,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":857.36,""cy"":445.15,""w"":85.55,""h"":124.47,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6834,""depth_m"":null,""depth_valid"":false},{""cx"":593.05,""cy"":439.36,""w"":61.02,""h"":99.56,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6535,""depth_m"":null,""depth_valid"":false}]",0.6834,857.36,445.15,85.55,124.47,,1.76,7.03,3.52,1.76,,583.74,30.84,30.84,9.01,94.56,92.51,20.07,1.03,0.25,0.07,0.50,1.13,0.00,0.14,127.56
2026-04-24T15:42:02.228,1777034522.228497,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":857.36,""cy"":445.15,""w"":85.55,""h"":124.47,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6834,""depth_m"":null,""depth_valid"":false},{""cx"":593.05,""cy"":439.36,""w"":61.02,""h"":99.56,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6535,""depth_m"":null,""depth_valid"":false}]",0.6834,857.36,445.15,85.55,124.47,,1.49,7.46,2.98,1.49,,583.74,35.62,35.62,9.01,94.56,92.51,20.07,1.03,0.25,0.07,0.50,1.13,0.00,0.14,132.34
2026-04-24T15:42:02.326,1777034522.326029,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":594.51,""cy"":440.03,""w"":63.12,""h"":99.01,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7198,""depth_m"":null,""depth_valid"":false},{""cx"":857.34,""cy"":445.21,""w"":86.04,""h"":123.94,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6775,""depth_m"":null,""depth_valid"":false}]",0.6775,857.34,445.21,86.04,123.94,,1.30,7.81,3.91,1.30,,583.74,36.25,36.25,9.01,204.43,202.13,183.76,1.03,0.25,0.07,0.50,1.13,0.00,0.14,242.84
2026-04-24T15:42:02.427,1777034522.427010,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":594.51,""cy"":440.03,""w"":63.12,""h"":99.01,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7198,""depth_m"":null,""depth_valid"":false},{""cx"":857.34,""cy"":445.21,""w"":86.04,""h"":123.94,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6775,""depth_m"":null,""depth_valid"":false}]",0.6775,857.34,445.21,86.04,123.94,,1.15,8.05,3.45,1.15,,583.74,41.89,41.89,9.01,204.43,202.13,183.76,1.03,0.25,0.07,0.50,1.13,0.00,0.14,248.48
2026-04-24T15:42:02.526,1777034522.526072,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":595.04,""cy"":440.03,""w"":63.39,""h"":98.48,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7301,""depth_m"":null,""depth_valid"":false},{""cx"":857.66,""cy"":445.04,""w"":85.8,""h"":123.33,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6643,""depth_m"":null,""depth_valid"":false}]",0.6643,857.66,445.04,85.80,123.33,,1.03,8.26,4.13,1.03,,583.74,38.74,38.74,9.01,254.08,252.18,183.76,1.03,0.25,0.07,0.50,1.13,0.00,0.14,294.97
2026-04-24T15:42:02.626,1777034522.626198,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":595.04,""cy"":440.03,""w"":63.39,""h"":98.48,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7301,""depth_m"":null,""depth_valid"":false},{""cx"":857.66,""cy"":445.04,""w"":85.8,""h"":123.33,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.6643,""depth_m"":null,""depth_valid"":false}]",0.6643,857.66,445.04,85.80,123.33,,0.94,8.42,3.74,0.94,,583.74,60.49,60.49,9.01,254.08,252.18,18.04,1.03,0.25,0.07,0.50,1.13,0.00,0.14,316.72
2026-04-24T15:42:02.726,1777034522.726211,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":595.63,""cy"":440.98,""w"":63.99,""h"":98.02,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7508,""depth_m"":null,""depth_valid"":false},{""cx"":857.14,""cy"":447.65,""w"":87.46,""h"":124.3,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.5862,""depth_m"":null,""depth_valid"":false}]",0.5862,857.14,447.65,87.46,124.30,,0.00,10.00,10.00,0.00,,583.74,41.57,41.57,9.01,148.86,146.70,18.04,1.03,0.25,0.07,0.50,1.13,0.00,0.14,192.59
2026-04-24T15:42:02.826,1777034522.826099,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,2,0,"[{""cx"":595.63,""cy"":440.98,""w"":63.99,""h"":98.02,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7508,""depth_m"":null,""depth_valid"":false},{""cx"":857.14,""cy"":447.65,""w"":87.46,""h"":124.3,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.5862,""depth_m"":null,""depth_valid"":false}]",0.5862,857.14,447.65,87.46,124.30,,0.00,10.00,5.00,0.00,,583.74,37.56,37.56,9.01,148.86,146.70,12.66,1.03,0.25,0.07,0.50,1.13,0.00,0.14,188.58
2026-04-24T15:42:02.926,1777034522.926259,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":596.14,""cy"":440.3,""w"":63.56,""h"":98.19,""x1"":-1,""y1"":-1,""x2"":-1,""y2"":-1,""conf"":0.7322,""depth_m"":null,""depth_valid"":false}]",0.7322,596.14,440.30,63.56,98.19,,0.00,10.00,6.67,0.00,,583.74,45.05,45.05,9.01,130.49,128.89,109.20,1.03,0.25,0.07,0.50,1.13,0.00,0.14,177.70
