wall_time_iso,ros_time_s,experiment_id,lighting,scenario,ground_truth_m,notes,person_z_m,person_detected,depth_valid,in_zone,depth_status_text,safety_state_text,safety_level,state_changed,det_count,det_depth_valid_count,detections_json,closest_det_conf,closest_bbox_cx,closest_bbox_cy,closest_bbox_w,closest_bbox_h,closest_depth_m,input_fps,output_fps,det_fps,safety_state_hz,e2e_latency_ms_disp_to_safety,e2e_latency_ms_det_to_safety,camera_node_ms,camera_intensity_ms,camera_disparity_ms,yolo_node_ms,yolo_infer_ms,yolo_queue_ms,depth_node_ms,depth_crop_ms,depth_distance_ms,depth_publish_ms,safety_node_ms,safety_eval_ms,safety_publish_ms,total_system_latency_ms
2026-04-24T15:54:00.388,1777035240.388404,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,22.55,3.76,3.76,7.52,71.67,,1.30,40.96,1.30,171.84,170.84,1434.42,0.27,0.00,0.00,0.22,0.09,0.00,0.00,173.49
2026-04-24T15:54:00.487,1777035240.487543,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,21.90,5.48,2.74,8.21,42.34,1576.30,0.32,24.85,0.32,171.84,170.84,1434.42,0.27,0.00,0.00,0.21,0.06,0.00,0.00,172.49
2026-04-24T15:54:00.588,1777035240.588821,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,21.44,6.43,4.29,8.57,5.62,1696.27,0.43,34.02,0.43,180.65,179.55,1447.75,2.66,0.00,0.00,2.61,0.05,0.00,0.00,183.78
2026-04-24T15:54:00.687,1777035240.687678,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,19.46,7.08,3.54,8.84,88.86,1701.12,0.37,30.56,0.37,180.65,179.55,1447.75,5.19,0.00,0.00,5.12,0.18,0.00,0.09,186.38
2026-04-24T15:54:00.788,1777035240.788437,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,21.02,7.51,4.50,9.01,48.64,1647.66,0.33,33.84,0.33,153.45,152.20,1565.90,1.02,0.00,0.00,0.93,0.32,0.00,0.19,155.12
2026-04-24T15:54:00.887,1777035240.887783,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,20.90,7.84,5.23,9.14,9.88,1740.23,0.38,49.58,0.38,162.11,160.73,1565.90,2.53,0.00,0.00,2.47,0.14,0.00,0.08,165.16
2026-04-24T15:54:00.987,1777035240.987736,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,20.80,8.09,4.62,9.24,3.17,1816.32,0.56,34.55,0.56,162.11,160.73,1584.24,1.02,0.00,0.00,0.96,0.13,0.00,0.08,163.82
2026-04-24T15:54:01.090,1777035241.090094,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,1,0,"[{""cx"":599.0,""cy"":448.74,""w"":51.73,""h"":77.52,""x1"":96,""y1"":68,""x2"":104,""y2"":81,""conf"":0.5238,""depth_m"":null,""depth_valid"":false}]",0.5238,599.00,448.74,51.73,77.52,,20.67,8.27,5.17,9.30,83.66,1785.86,1.18,29.76,1.18,147.67,146.06,1408.94,1.18,0.07,0.04,0.98,0.12,0.00,0.07,150.15
2026-04-24T15:54:01.187,1777035241.187527,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,19.71,8.45,5.63,8.45,83.66,1785.86,2.49,38.49,2.49,145.40,143.86,843.43,1.13,0.06,0.02,0.97,0.08,0.00,0.00,149.09
2026-04-24T15:54:01.287,1777035241.287625,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,9.99,9.99,9.99,9.99,14.43,1560.62,0.28,93.28,0.28,70.07,68.89,831.77,0.38,0.07,0.04,0.21,0.13,0.00,0.08,70.87
2026-04-24T15:54:01.388,1777035241.388023,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,19.95,9.98,4.99,9.98,20.93,953.29,1.25,42.63,1.25,70.07,68.89,831.77,0.58,0.00,0.00,0.50,0.05,0.00,0.00,71.96
2026-04-24T15:54:01.487,1777035241.487456,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,20.00,10.00,6.67,10.00,4.84,1054.80,0.43,34.70,0.43,153.40,152.04,950.64,0.49,0.00,0.00,0.44,0.06,0.00,0.00,154.39
2026-04-24T15:54:01.589,1777035241.589713,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,19.89,9.95,4.97,9.95,11.81,1103.36,0.98,31.01,0.98,153.40,170.34,950.64,1.69,0.00,0.00,1.64,0.06,0.00,0.00,156.13
2026-04-24T15:54:01.687,1777035241.687805,exp_latency_nodes_only,400_lux,latency_nodes_only,,,-1.0000,0,0,0,detected=False | in_zone=False | depth_valid=False | z=invalid | valid=0/0 | roi_mode=full,SAFE (z=invalid),0,0,0,0,[],0.0000,-1.00,-1.00,-1.00,-1.00,,21.99,9.99,6.00,9.99,14.14,1184.59,37.63,37.63,0.52,172.10,170.34,765.15,0.26,0.00,0.00,0.21,0.08,0.00,0.00,210.07
